Trans. Date,Post Date,Description,Amount,Category
03/19/2024,03/20/2024,"CAPBIKE1 RIDE 855-865-9553 CA",3.85,"Travel/ Entertainment"
03/19/2024,03/20/2024,"QUIZLET.COM 510-495-6550 CAP-13653559",7.99,"Education"
03/20/2024,03/20/2024,"INTERNET PAYMENT - THANK YOU",-822.79,"Payments and Credits"
03/20/2024,03/20/2024,"PAR*YOSHINOYA - 4136 LOS ANGELES CA",0.17,"Restaurants"
03/21/2024,03/21/2024,"PAR*YOSHINOYA - 4136 LOS ANGELES CA",0.17,"Restaurants"
03/23/2024,03/23/2024,"PHO BISTRO ELK GROVE CA",82.00,"Restaurants"
03/25/2024,03/25/2024,"TST* FIRE WINGS - CENTER SACRAMENTO CA",112.44,"Restaurants"
03/26/2024,03/26/2024,"SALS KABOB & GYRO ELK GROVE CA",11.42,"Restaurants"
03/26/2024,03/26/2024,"TST* OZ KOREAN BBQ - E ELK GROVE CA00015426016777939113AA",119.95,"Restaurants"
03/28/2024,03/28/2024,"TSUKIJI SUSHI HIBACHI AY SACRAMENTO CA",99.00,"Restaurants"
03/29/2024,03/29/2024,"HAPPY LAMB HOT POT SACRAMENTO CA",102.00,"Restaurants"
03/30/2024,03/30/2024,"TST* LEATHERBY'S FAMILY ELK GROVE CA",64.44,"Restaurants"
04/02/2024,04/02/2024,"AMAZON WEB SERVICES AWS.AMAZON.COWA6C47XPMGWD4",0.13,"Services"
04/03/2024,04/03/2024,"ASUCLA CATERING 3102060730 CA",80.00,"Education"
04/03/2024,04/03/2024,"ASUCLA CATERING 3102060730 CA",480.70,"Education"
04/05/2024,04/05/2024,"HOUSE OF MEATBALLS LOS ANGELES CA",892.43,"Restaurants"
04/06/2024,04/06/2024,"RALPHS #0759 LOS ANGELES CA",171.81,"Supermarkets"
04/06/2024,04/06/2024,"RALPHS #0759 LOS ANGELES CA",250.00,"Supermarkets"
04/06/2024,04/06/2024,"TARGET 00027748091 LOS ANGELES CA",20.10,"Supermarkets"
04/06/2024,04/06/2024,"TST* TULSI INDIAN EATE LOS ANGELES CA00155489016972568310AA",1872.45,"Restaurants"
04/07/2024,04/07/2024,"UCLA LCC FRONT DESK 855-522-8552 CA",35.00,"Travel/ Entertainment"
04/07/2024,04/07/2024,"WEPAPRINTINGDEPOSIT 800-675-7639 AL",25.00,"Services"
04/11/2024,04/11/2024,"COUNTY OF LA BEACHES & H MARINA DEL RECA",7.00,"Medical Services"
04/11/2024,04/11/2024,"ZIPCAR EXTEND APR11 BOSTON MA",5.74,"Travel/ Entertainment"
04/11/2024,04/11/2024,"ZIPCAR EXTEND APR11 BOSTON MA",11.50,"Travel/ Entertainment"
04/11/2024,04/11/2024,"ZIPCAR EXTEND APR11 BOSTON MA",11.51,"Travel/ Entertainment"
04/11/2024,04/11/2024,"ZIPCAR TRIP APR10 BOSTON MA",22.99,"Travel/ Entertainment"
04/12/2024,04/12/2024,"ZIPCAR EXTEND APR13 BOSTON MA",5.75,"Travel/ Entertainment"
04/12/2024,04/12/2024,"ZIPCAR TRIP APR12 BOSTON MA",22.99,"Travel/ Entertainment"
04/13/2024,04/13/2024,"ZIPCAR TRIP APR14 BOSTON MA",25.19,"Travel/ Entertainment"
04/14/2024,04/14/2024,"APPLE.COM/BILL 866-712-7753 CAMLDZSZGNKDA0",2.99,"Merchandise"
04/15/2024,04/15/2024,"AMAZON PRIME*Y73GY7UV3 AMZN.COM/BILLWA2UHGT3N9BFC",5.24,"Merchandise"
04/15/2024,04/15/2024,"ZIPCAR EXTEND APR15 BOSTON MA",5.74,"Travel/ Entertainment"
04/15/2024,04/15/2024,"ZIPCAR EXTEND APR15 BOSTON MA",5.75,"Travel/ Entertainment"
04/15/2024,04/15/2024,"ZIPCAR EXTEND APR15 BOSTON MA",5.75,"Travel/ Entertainment"
04/22/2024,04/22/2024,"INTERNET PAYMENT - THANK YOU",-4576.89,"Payments and Credits"
05/09/2024,05/09/2024,"ZIPCAR TRIP MAY09 BOSTON MA",16.17,"Travel/ Entertainment"
05/09/2024,05/12/2024,"ZIPCAR TRIP MAY09 BOSTON MA",-16.17,"Payments and Credits"
05/10/2024,05/10/2024,"ZIPCAR TRIP MAY09 BOSTON MA",16.17,"Travel/ Entertainment"
05/12/2024,05/12/2024,"ZIPCAR TRIP MAY12 BOSTON MA",88.97,"Travel/ Entertainment"
05/12/2024,05/12/2024,"ZIPCAR TRIP MAY12 BOSTON MA",88.97,"Travel/ Entertainment"
05/12/2024,05/13/2024,"ZIPCAR TRIP MAY12 BOSTON MA",-88.97,"Payments and Credits"
05/13/2024,05/13/2024,"MCDONALDS 24051 COSTA MESA CA",20.97,"Restaurants"
05/14/2024,05/14/2024,"APPLE.COM/BILL 866-712-7753 CAMLDZX0T3FHA0",2.99,"Merchandise"
05/15/2024,05/15/2024,"ZIPCAR TRIP MAY19 BOSTON MA",101.51,"Travel/ Entertainment"
05/16/2024,05/17/2024,"ZIPCAR TRIP MAY19 BOSTON MA",-101.51,"Payments and Credits"
05/19/2024,05/20/2024,"NOAHS MOBILE 303-568-8000 CO",4.38,"Restaurants"
05/20/2024,05/20/2024,"DUN HUANG - IRVINE 3127305592 IL",46.00,"Restaurants"
05/22/2024,05/22/2024,"INTERNET PAYMENT - THANK YOU",-129.10,"Payments and Credits"
05/25/2024,05/25/2024,"NIJIYA MARKET #35 WEST LOS ANGECA",3.66,"Supermarkets"
05/28/2024,05/28/2024,"ZIPCAR TRIP JUN02 BOSTON MA",101.51,"Travel/ Entertainment"
05/30/2024,05/30/2024,"FEDEX OFFIC00000836069 PLANO TX",30.17,"Services"
05/30/2024,05/30/2024,"PARTY CITY 514 LOS ANGELES CA03067R",45.81,"Merchandise"
05/30/2024,05/30/2024,"TARGET 00027748091 LOS ANGELES CA",43.20,"Supermarkets"
05/30/2024,05/30/2024,"ZIPCAR LATE RETURN BOSTON MA",66.25,"Travel/ Entertainment"
05/30/2024,05/30/2024,"ZIPCAR TRIP JUN02 BOSTON MA",101.51,"Travel/ Entertainment"
05/30/2024,05/30/2024,"ZIPCAR TRIP MAY30 BOSTON MA",11.50,"Travel/ Entertainment"
05/30/2024,06/02/2024,"ZIPCAR TRIP JUN02 BOSTON MA",-101.51,"Payments and Credits"
05/31/2024,06/02/2024,"ZIPCAR LATE RETURN BOSTON MA",-66.25,"Payments and Credits"
05/31/2024,06/02/2024,"ZIPCAR TRIP MAY30 BOSTON MA",-11.50,"Payments and Credits"
06/01/2024,06/01/2024,"HOUSE OF MEATBALLS LOS ANGELES CA",469.08,"Restaurants"
06/01/2024,06/01/2024,"PANDA EXPRESS #175 LOS ANGELES CA",0.20,"Restaurants"
06/02/2024,06/02/2024,"TST* WANG CHO BBQ - CO SANTA ANA CA00017047018066626381AA",91.00,"Restaurants"
06/03/2024,06/03/2024,"ZIPCAR EXTEND JUN02 BOSTON MA",41.17,"Travel/ Entertainment"
06/05/2024,06/05/2024,"ZIPCAR TRIP JUN09 BOSTON MA",101.51,"Travel/ Entertainment"
06/07/2024,06/07/2024,"ZIPCAR TRIP JUN07 BOSTON MA",37.78,"Travel/ Entertainment"
06/09/2024,06/09/2024,"ZIPCAR EXTEND JUN09 BOSTON MA",3.06,"Travel/ Entertainment"
06/10/2024,06/12/2024,"ZIPCAR TRIP JUN07 BOSTON MA",-37.78,"Payments and Credits"
06/13/2024,06/13/2024,"APPLE.COM/BILL 866-712-7753 CAMLDZZWKD6DA0",2.99,"Merchandise"
06/15/2024,06/15/2024,"AMAZON PRIME*QP8II9YX3 AMZN.COM/BILLWA3GQQ41X9SVZ",8.15,"Merchandise"
06/19/2024,06/21/2024,"ZIPCAR TRIP JUN09 BOSTON MA",-50.75,"Payments and Credits"
06/21/2024,06/21/2024,"INTERNET PAYMENT - THANK YOU",-991.89,"Payments and Credits"
06/25/2024,06/25/2024,"WALMART STORE 05848 ELK GROVE CA",0.98,"Merchandise"
07/05/2024,07/05/2024,"TARGET 00010256091 ELK GROVE CA",10.86,"Supermarkets"
07/07/2024,07/07/2024,"CHIPOTLE ONLINE 949-524-4000 CA",10.77,"Restaurants"
07/11/2024,07/11/2024,"WALMART.COM 800-925-6278 ARW0XLV5SQ0IG9",35.99,"Merchandise"
07/15/2024,07/15/2024,"AMAZON PRIME*RS2AT8060 AMZN.COM/BILLWA2UCBT22VAML",8.15,"Merchandise"
07/15/2024,07/15/2024,"APPLE.COM/BILL 866-712-7753 CAMLF02XDKLSA0",2.99,"Merchandise"
07/15/2024,07/15/2024,"CLAIRE'S #5522 ELK GROVE CA",65.24,"Merchandise"
07/17/2024,07/18/2024,"WALMART.COM 800-925-6278 ARW9NUAERE0ZDA",-35.99,"Payments and Credits"
07/21/2024,07/21/2024,"INTERNET PAYMENT - THANK YOU",-48.24,"Payments and Credits"
07/25/2024,07/25/2024,"CA'S GREAT AMERICA ONLIN 408-988-1776 CA",57.99,"Travel/ Entertainment"
07/27/2024,07/27/2024,"CHIPOTLE ONLINE 949-524-4000 CA",11.43,"Restaurants"
07/27/2024,07/27/2024,"UEP*YIN JI CHANG FEN MILPITAS CA",44.06,"Restaurants"
07/29/2024,07/29/2024,"AMAZON PRIME*RV8161AH1 AMZN.COM/BILLWA3URQU8AB7HT",75.04,"Merchandise"
07/29/2024,07/30/2024,"AMAZON PRIME AMZN.COM/BILLWA2YI0ZXF102T",-69.04,"Payments and Credits"
07/29/2024,07/30/2024,"AMAZON PRIME AMZN.COM/BILLWA2IDE7L2J96U",-4.49,"Payments and Credits"
08/02/2024,08/02/2024,"AMAZON WEB SERVICES AWS.AMAZON.COWA3ZNKAQH15JK",0.50,"Services"
08/10/2024,08/10/2024,"APPLE.COM/BILL 111-111-1111 CA",2.99,"Merchandise"
08/13/2024,08/13/2024,"APPLE.COM/BILL 866-712-7753 CAMLF05Z56XDA0",2.99,"Merchandise"
08/21/2024,08/21/2024,"INTERNET PAYMENT - THANK YOU",-121.47,"Payments and Credits"
09/02/2024,09/02/2024,"AMAZON WEB SERVICES AWS.AMAZON.COWA3C4LKNWVKTG",0.55,"Services"
09/13/2024,09/13/2024,"DNH*GODADDY#3295583380 480-505-8855 AZDNH*GODADDY#3295583380",23.17,"Services"
09/14/2024,09/14/2024,"APPLE.COM/BILL 866-712-7753 CAMLF08YYMK6A0",2.99,"Merchandise"
09/17/2024,09/17/2024,"AMAZON PRIME*WW5DD4MW3 AMZN.COM/BILLWA7DDUK76T9TA",7.60,"Merchandise"
09/21/2024,09/21/2024,"INTERNET PAYMENT - THANK YOU",-34.31,"Payments and Credits"
09/21/2024,09/21/2024,"WALMART STORE 05644 IRVINE CA",65.62,"Merchandise"
09/22/2024,09/22/2024,"TARGET 00027748091 LOS ANGELES CA",10.82,"Supermarkets"
09/24/2024,09/24/2024,"NIJIYA MARKET #35 WEST LOS ANGECA",14.47,"Supermarkets"
09/29/2024,09/29/2024,"ZIPCAR LATE RETURN BOSTON MA",61.18,"Travel/ Entertainment"
09/29/2024,09/29/2024,"ZIPCAR TRIP SEP28 BOSTON MA",35.44,"Travel/ Entertainment"
10/01/2024,10/01/2024,"TARGET 00027748091 LOS ANGELES CA",21.31,"Supermarkets"
10/02/2024,10/02/2024,"AMAZON MKTPL*IW8015JG3 AMZN.COM/BILLWA47SJ69VIVXB",5.19,"Merchandise"
10/02/2024,10/02/2024,"AMAZON WEB SERVICES AWS.AMAZON.COWA8WNBGO7MZMP",0.54,"Services"
10/04/2024,10/04/2024,"85C BAKERY CAFE USA LOS ANGELES CA",6.40,"Merchandise"
10/04/2024,10/04/2024,"GELSON'S MARKETS #4 LOS ANGELES CA",2.09,"Supermarkets"
10/10/2024,10/10/2024,"AMAZON MKTPL*RF9OE7F33 AMZN.COM/BILLWA3C1SRORORF8",23.56,"Merchandise"
10/13/2024,10/13/2024,"APPLE.COM/BILL 866-712-7753 CAMLF0DXN8N9A0",2.99,"Merchandise"
10/17/2024,10/17/2024,"AMAZON PRIME*003ZT15C3 AMZN.COM/BILLWA7ABZWQDYM54",7.60,"Merchandise"
10/21/2024,10/21/2024,"INTERNET PAYMENT - THANK YOU",-257.21,"Payments and Credits"
10/23/2024,10/23/2024,"UCLA BCC WEB DEPOSIT LOS ANGELES CA",30.00,"Education"
10/25/2024,10/25/2024,"AMAZON MKTPL*RT9LR4EK3 AMZN.COM/BILLWA5D1DSO1UOGD",50.36,"Merchandise"
10/27/2024,10/27/2024,"AMAZON MKTPL*M94LT6MX3 AMZN.COM/BILLWA1MZ0DKZI9II",6.56,"Merchandise"
10/29/2024,10/29/2024,"UCLA RECREATION ONLINE 310-206-8373 CA",10.00,"Education"
10/30/2024,10/30/2024,"AMAZON MKTPL*Z680O11K1 AMZN.COM/BILLWA1HC5LTOYDQG",65.22,"Merchandise"
10/31/2024,10/31/2024,"AMAZON MKTPL*AD7QC0OZ3 AMZN.COM/BILLWA6SACTBW6UUH",32.84,"Merchandise"
11/01/2024,11/01/2024,"BIRD APP* PENDING.BIRD 8662052442 FL",4.39,"Travel/ Entertainment"
11/01/2024,11/01/2024,"CHIPOTLE ONLINE 949-524-4000 CA",11.69,"Restaurants"
11/02/2024,11/02/2024,"7-ELEVEN 16346 SANTA CRUZ CA",4.20,"Gasoline"
11/02/2024,11/02/2024,"AMAZON WEB SERVICES AWS.AMAZON.COWAQ3B9VWB7WKS",0.53,"Services"
11/02/2024,11/02/2024,"TAQUERIA LOS PERICOS SANTA CRUZ CA",13.65,"Restaurants"
11/02/2024,11/02/2024,"TST*THE BAGELRY - CEDA SANTA CRUZ CA00105515021081771262AA",5.48,"Merchandise"
11/03/2024,11/03/2024,"CHIPOTLE ONLINE 949-524-4000 CA",11.15,"Restaurants"
11/03/2024,11/03/2024,"TST*THE BAGELRY - CEDA SANTA CRUZ CA00105515021111475317AA",6.36,"Merchandise"
11/06/2024,11/06/2024,"CARLS JR 505 LOS ANGELES CA",0.40,"Restaurants"
11/07/2024,11/07/2024,"AMAZON.COM*OW7EX13H3 AMZN.COM/BILLWA3DBQH6DDK4Y",13.14,"Merchandise"
11/07/2024,11/07/2024,"RALPHS #0759 LOS ANGELES CA",5.00,"Supermarkets"
11/08/2024,11/08/2024,"NIJIYA MARKET #35 WEST LOS ANGECA",6.07,"Supermarkets"
11/08/2024,11/10/2024,"AMAZON MKTPLACE PMTS AMZN.COM/BILLWA5EL9BJGMR8B",-32.84,"Payments and Credits"
11/11/2024,11/11/2024,"AMAZON MKTPL*7382B1IF3 AMZN.COM/BILLWAFAU9LU6T4CN",10.94,"Merchandise"
11/11/2024,11/11/2024,"AMAZON.COM*VN9UV53O3 AMZN.COM/BILLWA1XC8UOADVTN",47.09,"Merchandise"
11/12/2024,11/12/2024,"AMAZON MKTPL*UE4RL9ZD3 AMZN.COM/BILLWA3BKIJQ3ZFA1",10.94,"Merchandise"
11/12/2024,11/12/2024,"AMAZON.COM*732XN69S3 AMZN.COM/BILLWA4HQ94RLI3TM",5.88,"Merchandise"
11/14/2024,11/14/2024,"APPLE.COM/BILL 866-712-7753 CAMLF0HZQQ1TA0",2.99,"Merchandise"
11/17/2024,11/17/2024,"AMAZON PRIME*9T7O70AM3 AMZN.COM/BILLWA5733YWAIRUJ",7.60,"Merchandise"
11/18/2024,11/20/2024,"99 RANCH MARKET #1255 LOS ANGELES CA",68.28,"Supermarkets"
11/20/2024,11/20/2024,"AMAZON MKTPL*ER22B9O53 AMZN.COM/BILLWA6UWAOQR4057",13.69,"Merchandise"
11/20/2024,11/20/2024,"BIRD APP* PENDING.BIRD 8662052442 FL",4.87,"Travel/ Entertainment"
11/21/2024,11/21/2024,"INTERNET PAYMENT - THANK YOU",-329.64,"Payments and Credits"
11/26/2024,11/27/2024,"AMAZON MKTPLACE PMTS AMZN.COM/BILLWA4RFRBN25Q6W",-13.69,"Payments and Credits"
12/02/2024,12/02/2024,"OPENAI 4158799686 CA",5.00,"Merchandise"
12/03/2024,12/03/2024,"AMAZON WEB SERVICES AWS.AMAZON.COWA2K8D1569VGS",0.54,"Services"
12/03/2024,12/03/2024,"SLICE*ENZOSNYPIZZERIA 8889749928 NY",740.76,"Restaurants"
12/04/2024,12/04/2024,"NIKE.COM 8008066453 CA",88.15,"Merchandise"
12/05/2024,12/05/2024,"TEMU.COM TEMU.COM CATEMU.COM",48.34,"Department Stores"
12/13/2024,12/13/2024,"APPLE.COM/BILL 866-712-7753 CA",2.99,"Merchandise"
12/17/2024,12/17/2024,"AMAZON PRIME*Z18VA5Z61 AMZN.COM/BILLWA46R1RUWENNR",7.60,"Merchandise"
12/21/2024,12/21/2024,"INTERNET PAYMENT - THANK YOU",-966.53,"Payments and Credits"
12/23/2024,12/23/2024,"SAFEWAY #1647 ELK GROVE CA",17.94,"Supermarkets"
12/27/2024,12/27/2024,"MCDONALDS 35050 STOCKTON CA",5.43,"Restaurants"
12/28/2024,12/28/2024,"WL *STEAM PURCHASE 425-889-9642 WA00016J19VYNKC001001",9.69,"Merchandise"
01/02/2025,01/02/2025,"AMAZON WEB SERVICES AWS.AMAZON.COWA1EROB5IEQ81",0.54,"Services"
01/05/2025,01/05/2025,"UCLA BCC WEB DEPOSIT LOS ANGELES CA",25.00,"Education"
01/07/2025,01/07/2025,"ZIPCAR TRIP JAN11 BOSTON MA",107.58,"Travel/ Entertainment"
01/08/2025,01/08/2025,"RALPHS #0759 LOS ANGELES CA",10.39,"Supermarkets"
01/08/2025,01/08/2025,"ZIPCAR EXTEND JAN11 BOSTON MA",12.88,"Travel/ Entertainment"
01/09/2025,01/09/2025,"AMAZON MKTPL*Z59FN1EE2 AMZN.COM/BILLWA5TOPIPEVEF5",3.14,"Merchandise"
01/09/2025,01/09/2025,"H MART IRVINE WESTPARK L IRVINE CA",34.87,"Supermarkets"
01/09/2025,01/10/2025,"ZIPCAR EXTEND JAN11 BOSTON MA",-12.88,"Payments and Credits"
01/09/2025,01/10/2025,"ZIPCAR TRIP JAN11 BOSTON MA",-107.58,"Payments and Credits"
01/10/2025,01/10/2025,"ALBERTSONS #0597 IRVINE CA",3.89,"Supermarkets"
01/11/2025,01/11/2025,"AMERICAN AIRLINES FT WORTH TX",108.48,"Travel/ Entertainment"
01/11/2025,01/11/2025,"CLIPPER SYSTEMS MOBILE # CONCORD CA",10.00,"Travel/ Entertainment"
01/11/2025,01/11/2025,"CLIPPER SYSTEMS MOBILE # CONCORD CA",10.00,"Travel/ Entertainment"
01/15/2025,01/15/2025,"TACO BELL 700290 916-338-7770 CA",5.39,"Restaurants"
